id;age_years;age_years_full;sex;cb;experimenter;order;condition;trial;obj.pair;consis;hierarchy_dx_coin;hierarchy_x_coin;fb_control;res_c;res_t;c_correct;t_correct
33;6,34520547945205;6;f;CB_07;Joana;acn acn;dual_identity;1;CX;C;0;1;1;NA;NA;NA;NA
33;6,34520547945205;6;f;CB_07;Joana;acn acn;dual_identity;2;XC;I;0;1;1;NA;NA;NA;NA
33;6,34520547945205;6;f;CB_07;Joana;acn acn;control;1;CX;I;0;1;NA;left;wind;1;1
33;6,34520547945205;6;f;CB_07;Joana;acn acn;control;2;XC;C;0;1;NA;right;self;1;1
33;6,34520547945205;6;f;CB_07;Joana;acn acn;change_of_location;1;0M;C;0;1;1;right;self;1;1
33;6,34520547945205;6;f;CB_07;Joana;acn acn;change_of_location;2;M0;I;0;1;1;left;self;0;0
34;5,25205479452055;5;f;CB_08;Joana;acn acn;dual_identity;1;XC;C;1;0;1;right;self;1;1
34;5,25205479452055;5;f;CB_08;Joana;acn acn;dual_identity;2;CX;I;1;0;1;left;wind;1;1
34;5,25205479452055;5;f;CB_08;Joana;acn acn;control;1;XC;I;1;0;NA;NA;NA;NA;NA
34;5,25205479452055;5;f;CB_08;Joana;acn acn;control;2;CX;C;1;0;NA;NA;NA;NA;NA
34;5,25205479452055;5;f;CB_08;Joana;acn acn;change_of_location;1;M0;C;1;0;1;left;wind;0;0
34;5,25205479452055;5;f;CB_08;Joana;acn acn;change_of_location;2;0M;I;1;0;1;right;self;1;0
35;6,27123287671233;6;m;CB_09;Joana;acn acn;dual_identity;1;CX;I;1;1;1;left;wind;1;1
35;6,27123287671233;6;m;CB_09;Joana;acn acn;dual_identity;2;CX;C;1;1;1;left;self;1;1
35;6,27123287671233;6;m;CB_09;Joana;acn acn;control;1;XC;C;1;1;NA;left;wind;0;0
35;6,27123287671233;6;m;CB_09;Joana;acn acn;control;2;XC;I;1;1;NA;right;wind;1;1
35;6,27123287671233;6;m;CB_09;Joana;acn acn;change_of_location;1;0M;I;1;1;1;right;wind;1;1
35;6,27123287671233;6;m;CB_09;Joana;acn acn;change_of_location;2;0M;C;1;1;1;right;self;1;1
36;7,33150684931507;7;f;CB_09;Joana;acn acn;dual_identity;1;CX;I;1;1;1;left;wind;1;1
36;7,33150684931507;7;f;CB_09;Joana;acn acn;dual_identity;2;CX;C;1;1;1;left;self;1;1
36;7,33150684931507;7;f;CB_09;Joana;acn acn;control;1;XC;C;1;1;NA;right;self;1;1
36;7,33150684931507;7;f;CB_09;Joana;acn acn;control;2;XC;I;1;1;NA;right;wind;1;1
36;7,33150684931507;7;f;CB_09;Joana;acn acn;change_of_location;1;0M;I;1;1;1;right;wind;1;1
36;7,33150684931507;7;f;CB_09;Joana;acn acn;change_of_location;2;0M;C;1;1;1;right;self;1;1
37;4,67671232876712;4;f;CB_10;Joana;acn acn;dual_identity;1;XC;I;0;1;1;NA;NA;NA;NA
37;4,67671232876712;4;f;CB_10;Joana;acn acn;dual_identity;2;XC;C;0;1;1;NA;NA;NA;NA
37;4,67671232876712;4;f;CB_10;Joana;acn acn;control;1;CX;C;0;1;NA;right;wind;0;0
37;4,67671232876712;4;f;CB_10;Joana;acn acn;control;2;CX;I;0;1;NA;left;wind;1;1
37;4,67671232876712;4;f;CB_10;Joana;acn acn;change_of_location;1;M0;I;0;1;0;NA;NA;NA;NA
37;4,67671232876712;4;f;CB_10;Joana;acn acn;change_of_location;2;M0;C;0;1;1;right;wind;1;0
38;6,80821917808219;6;f;CB_17;Joana;nca nca;dual_identity;1;CX;C;1;1;1;left;self;1;1
38;6,80821917808219;6;f;CB_17;Joana;nca nca;dual_identity;2;CX;I;1;1;1;left;wind;1;1
38;6,80821917808219;6;f;CB_17;Joana;nca nca;control;1;CX;I;1;1;NA;left;wind;1;1
38;6,80821917808219;6;f;CB_17;Joana;nca nca;control;2;CX;C;1;1;NA;left;self;1;1
38;6,80821917808219;6;f;CB_17;Joana;nca nca;change_of_location;1;0M;C;1;1;1;right;self;1;1
38;6,80821917808219;6;f;CB_17;Joana;nca nca;change_of_location;2;0M;I;1;1;1;right;wind;1;1
39;6,84383561643836;6;m;CB_18;Joana;nca nca;dual_identity;1;XC;C;1;1;1;right;self;1;1
39;6,84383561643836;6;m;CB_18;Joana;nca nca;dual_identity;2;XC;I;1;1;1;right;wind;1;1
39;6,84383561643836;6;m;CB_18;Joana;nca nca;control;1;XC;I;1;1;NA;right;wind;1;1
39;6,84383561643836;6;m;CB_18;Joana;nca nca;control;2;XC;C;1;1;NA;right;self;1;1
39;6,84383561643836;6;m;CB_18;Joana;nca nca;change_of_location;1;M0;C;1;1;1;left;self;0;1
39;6,84383561643836;6;m;CB_18;Joana;nca nca;change_of_location;2;M0;I;1;1;1;left;wind;0;1
41;5,98356164383562;5;m;CB_20;Joana;nca nca;dual_identity;1;CX;C;1;1;1;left;self;1;1
41;5,98356164383562;5;m;CB_20;Joana;nca nca;dual_identity;2;CX;I;1;1;1;left;wind;1;1
41;5,98356164383562;5;m;CB_20;Joana;nca nca;control;1;XC;I;1;1;NA;right;wind;1;1
41;5,98356164383562;5;m;CB_20;Joana;nca nca;control;2;XC;C;1;1;NA;right;self;1;1
41;5,98356164383562;5;m;CB_20;Joana;nca nca;change_of_location;1;0M;C;1;1;1;right;self;1;1
41;5,98356164383562;5;m;CB_20;Joana;nca nca;change_of_location;2;0M;I;1;1;1;right;wind;1;1
42;6,16712328767123;6;m;CB_21;Joana;nca nca;dual_identity;1;CX;C;1;1;1;left;wind;1;0
42;6,16712328767123;6;m;CB_21;Joana;nca nca;dual_identity;2;XC;I;1;1;1;right;wind;1;1
42;6,16712328767123;6;m;CB_21;Joana;nca nca;control;1;CX;I;1;1;NA;right;wind;0;1
42;6,16712328767123;6;m;CB_21;Joana;nca nca;control;2;XC;C;1;1;NA;right;self;1;1
42;6,16712328767123;6;m;CB_21;Joana;nca nca;change_of_location;1;0M;C;1;1;1;left;wind;0;0
42;6,16712328767123;6;m;CB_21;Joana;nca nca;change_of_location;2;M0;I;1;1;1;left;wind;0;1
43;5,10136986301370;5;m;CB_22;Isa;nca nca;dual_identity;1;XC;C;1;1;1;left;wind;0;0
43;5,10136986301370;5;m;CB_22;Isa;nca nca;dual_identity;2;CX;I;1;1;1;right;self;0;0
43;5,10136986301370;5;m;CB_22;Isa;nca nca;control;1;XC;I;1;1;NA;right;wind;1;1
43;5,10136986301370;5;m;CB_22;Isa;nca nca;control;2;CX;C;1;1;NA;left;wind;1;0
43;5,10136986301370;5;m;CB_22;Isa;nca nca;change_of_location;1;M0;C;1;1;1;right;wind;1;0
