n;sim;p;comp.sign;red.null.p;IE.belief.age.p;IE.belief.age.sign;red.null.sign
108;651;2,28634313080127e-03;TRUE;6,19931978715246e-05;1,96436993918491e-03;TRUE;TRUE
108;652;2,04918917578436e-04;TRUE;2,47754307469513e-05;1,33077466654102e-04;TRUE;TRUE
108;653;6,29272089420326e-02;FALSE;1,36027769800731e-05;5,97302679334520e-02;FALSE;TRUE
108;654;1,21001584572734e-03;TRUE;7,04286678846097e-09;9,67445545347318e-04;TRUE;TRUE
108;655;2,77134851558329e-03;TRUE;2,51926365144732e-06;2,56679854477426e-03;TRUE;TRUE
108;656;1,05857025567140e-02;TRUE;1,54404325755946e-06;9,71414959043333e-03;TRUE;TRUE
108;657;7,85427783318933e-01;FALSE;1,47825640727394e-01;7,37875059209283e-01;FALSE;FALSE
108;658;1,71505844600730e-02;TRUE;8,13910227728870e-03;1,60127318114446e-02;TRUE;TRUE
108;659;4,05521874342715e-02;TRUE;5,50926602423307e-08;3,38403392830275e-02;TRUE;TRUE
108;660;1,68452085663280e-05;TRUE;2,69828073176828e-03;5,66139689174425e-05;TRUE;TRUE
108;661;1,72414564837506e-02;TRUE;1,01122482283524e-04;1,37517919490459e-02;TRUE;TRUE
108;662;5,81420534977123e-04;TRUE;1,80140937577556e-02;4,63498006554932e-04;TRUE;TRUE
108;663;2,58737937670082e-05;TRUE;3,01222880563401e-01;7,86804715952704e-05;TRUE;FALSE
108;664;3,55710448752574e-04;TRUE;1,55040423235005e-03;5,33535184464651e-04;TRUE;TRUE
108;665;2,39294113388327e-02;TRUE;8,98360308639999e-07;0,00000000000000e+00;TRUE;TRUE
108;666;6,66863544688735e-02;FALSE;2,13989617924573e-08;5,48082108068519e-02;FALSE;TRUE
108;667;8,82641861706850e-06;TRUE;7,44127510425774e-04;3,49742310340364e-05;TRUE;TRUE
108;668;1,25981560069926e-02;TRUE;1,27205558041500e-04;1,15740874878705e-02;TRUE;TRUE
108;669;4,18450536783717e-03;TRUE;2,34735116360382e-03;0,00000000000000e+00;TRUE;TRUE
108;670;1,11837139739882e-01;FALSE;6,13616518175763e-06;1,10848694443762e-01;FALSE;TRUE
108;671;1,17517321740878e-03;TRUE;5,60087611665299e-05;1,04930486878506e-03;TRUE;TRUE
108;672;3,08794010055878e-01;FALSE;5,29973052863622e-03;2,78663606403526e-01;FALSE;TRUE
108;673;3,32494807130481e-02;TRUE;2,87638210809193e-03;2,79671780905848e-02;TRUE;TRUE
108;674;1,20253929888360e-04;TRUE;1,49360612838030e-03;5,19233529514962e-05;TRUE;TRUE
