id;age_years;cb;trial;objects;c_i;res_c;res_t;c_correct;t_correct
113;4,15068493150685;CB_19;4;CX;I;right;wind;0;1
114;4,54520547945206;CB_20;1;XC;I;right;wind;1;1
114;4,54520547945206;CB_20;2;DC;C;left;self;1;1
114;4,54520547945206;CB_20;3;XC;C;right;self;1;1
114;4,54520547945206;CB_20;4;DC;I;left;wind;1;1
115;4,94246575342466;CB_21;1;CD;C;right;wind;1;0
115;4,94246575342466;CB_21;2;CX;I;left;self;1;0
115;4,94246575342466;CB_21;3;CD;I;right;wind;1;1
115;4,94246575342466;CB_21;4;CX;C;left;self;1;1
116;5,15616438356164;CB_22;1;XC;C;right;wind;1;0
116;5,15616438356164;CB_22;2;DC;I;left;wind;1;1
116;5,15616438356164;CB_22;3;XC;I;right;wind;1;1
116;5,15616438356164;CB_22;4;DC;C;left;wind;1;0
117;7,55616438356164;CB_22;1;XC;C;right;wind;1;0
117;7,55616438356164;CB_22;2;DC;I;left;wind;1;1
117;7,55616438356164;CB_22;3;XC;I;right;wind;1;1
117;7,55616438356164;CB_22;4;DC;C;left;self;1;1
118;5,46027397260274;CB_23;1;DC;C;right;wind;0;0
118;5,46027397260274;CB_23;2;XC;I;right;wind;1;1
118;5,46027397260274;CB_23;3;DC;I;left;wind;1;1
118;5,46027397260274;CB_23;4;XC;C;right;wind;1;0
119;5,43013698630137;CB_24;1;CX;C;left;self;1;1
119;5,43013698630137;CB_24;2;CD;I;right;wind;1;1
119;5,43013698630137;CB_24;3;CX;I;left;wind;1;1
119;5,43013698630137;CB_24;4;CD;C;right;self;1;1
120;5,41917808219178;CB_25;1;DC;I;left;wind;1;1
120;5,41917808219178;CB_25;2;XC;C;right;self;1;1
120;5,41917808219178;CB_25;3;DC;C;left;self;1;1
120;5,41917808219178;CB_25;4;XC;I;right;wind;1;1
121;7,74246575342466;CB_26;1;CX;I;left;self;1;0
121;7,74246575342466;CB_26;2;CD;C;right;wind;1;0
121;7,74246575342466;CB_26;3;CX;C;left;wind;1;0
121;7,74246575342466;CB_26;4;CD;I;right;wind;1;1
122;6,52328767123288;CB_26;1;CX;I;left;wind;1;1
122;6,52328767123288;CB_26;2;CD;C;right;wind;1;0
122;6,52328767123288;CB_26;3;CX;C;left;self;1;1
122;6,52328767123288;CB_26;4;CD;I;right;wind;1;1
123;5,37808219178082;CB_27;1;CD;I;left;wind;0;1
